	t	x	y	pescados
	739	1.77454e+06	11652.7	0
	740	1.79275e+06	11661.2	0
	741	1.81125e+06	11670.6	0
	742	1.83005e+06	11680.9	0
	743	1.84914e+06	11692.2	0
	744	1.8685e+06	11704.4	0
	745	1.88812e+06	11717.5	0
	746	1.908e+06	11731.5	0
	747	1.92813e+06	11746.5	0
	748	1.94848e+06	11762.5	0
	749	1.96905e+06	11779.4	0
	750	1.98983e+06	11797.4	0
	751	2.0108e+06	11816.3	0
	752	2.03195e+06	11836.2	0
	753	2.05326e+06	11857.1	0
	754	2.07472e+06	11879	0
	755	2.09631e+06	11902	0
	756	2.11801e+06	11925.9	0
	757	2.13982e+06	11950.9	0
	758	2.16171e+06	11976.9	0
	759	2.18366e+06	12004	0
	760	2.20566e+06	12032	0
	761	2.22769e+06	12061.1	0
	762	2.24973e+06	12091.3	0
	763	2.27177e+06	12122.4	0
	764	2.29378e+06	12154.6	0
	765	2.31575e+06	12187.9	0
	766	2.33765e+06	12222.1	0
	767	2.35948e+06	12257.4	0
	768	2.38121e+06	12293.7	0
	769	2.40283e+06	12331	0
	770	2.42431e+06	12369.4	0
	771	2.44565e+06	12408.7	0
	772	2.46681e+06	12449	0
	773	2.48779e+06	12490.3	0
	774	2.50856e+06	12532.6	0
	775	2.52912e+06	12575.9	0
	776	2.54944e+06	12620.1	0
	777	2.56952e+06	12665.2	0
	778	2.58932e+06	12711.3	0
	779	2.60885e+06	12758.3	0
	780	2.62809e+06	12806.2	0
	781	2.64701e+06	12855	0
	782	2.66562e+06	12904.7	0
	783	2.6839e+06	12955.2	0
	784	2.70183e+06	13006.5	0
	785	2.71941e+06	13058.7	0
	786	2.73663e+06	13111.6	0
	787	2.75347e+06	13165.4	0
	788	2.76992e+06	13219.9	0
	789	2.78599e+06	13275.1	0
	790	2.80165e+06	13331.1	0
	791	2.81692e+06	13387.7	0
	792	2.83176e+06	13445	0
	793	2.84619e+06	13502.9	0
	794	2.8602e+06	13561.5	0
	795	2.87379e+06	13620.7	0
	796	2.88694e+06	13680.4	0
	797	2.89965e+06	13740.7	0
	798	2.91194e+06	13801.5	0
	799	2.92378e+06	13862.7	0
	800	2.93519e+06	13924.5	0
	801	2.94615e+06	13986.6	0
	802	2.95668e+06	14049.2	0
	803	2.96677e+06	14112.2	0
	804	2.97641e+06	14175.5	0
	805	2.98563e+06	14239.1	0
	806	2.9944e+06	14303.1	0
	807	3.00274e+06	14367.3	0
	808	3.01066e+06	14431.7	0
	809	3.01814e+06	14496.3	0
	810	3.0252e+06	14561.2	0
	811	3.03184e+06	14626.1	0
	812	3.03807e+06	14691.2	0
	813	3.04388e+06	14756.4	0
	814	3.04928e+06	14821.6	0
	815	3.05428e+06	14886.9	0
	816	3.05889e+06	14952.2	0
